departamento,provincia,candidato,partido,votos
AMAZONAS,RODRÍGUEZ DE MENDOZA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",199
AMAZONAS,RODRÍGUEZ DE MENDOZA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,189
AMAZONAS,RODRÍGUEZ DE MENDOZA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,152
AMAZONAS,RODRÍGUEZ DE MENDOZA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,128
AMAZONAS,RODRÍGUEZ DE MENDOZA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,128
AMAZONAS,RODRÍGUEZ DE MENDOZA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,108
AMAZONAS,RODRÍGUEZ DE MENDOZA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,93
AMAZONAS,RODRÍGUEZ DE MENDOZA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,78
AMAZONAS,RODRÍGUEZ DE MENDOZA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,73
AMAZONAS,RODRÍGUEZ DE MENDOZA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,69
AMAZONAS,RODRÍGUEZ DE MENDOZA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,63
AMAZONAS,RODRÍGUEZ DE MENDOZA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,55
AMAZONAS,RODRÍGUEZ DE MENDOZA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,53
AMAZONAS,RODRÍGUEZ DE MENDOZA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,50
AMAZONAS,RODRÍGUEZ DE MENDOZA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,37
AMAZONAS,RODRÍGUEZ DE MENDOZA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,35
AMAZONAS,RODRÍGUEZ DE MENDOZA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,29
AMAZONAS,RODRÍGUEZ DE MENDOZA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,19
AMAZONAS,RODRÍGUEZ DE MENDOZA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,19
AMAZONAS,RODRÍGUEZ DE MENDOZA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,18
AMAZONAS,RODRÍGUEZ DE MENDOZA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,17
AMAZONAS,RODRÍGUEZ DE MENDOZA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,15
